shortname;fullname;category_path;startdate;templatecourse;enrolment_1;enrolment_1_role
03-ACS-L-A2-S1-LS3-CD;03-ACS-L-A2-S1: Limba străină 3 (Seria CD - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 1 / Seria CD;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-EFS1-AA;03-ACS-L-A1-S1: Educaţie fizică şi sport 1 (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AA;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-EFS1-AB;03-ACS-L-A1-S1: Educaţie fizică şi sport 1 (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AB;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-EFS1-AC;03-ACS-L-A1-S1: Educaţie fizică şi sport 1 (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AC;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-EFS1-CA;03-ACS-L-A1-S1: Educaţie fizică şi sport 1 (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CA;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-EFS1-CB;03-ACS-L-A1-S1: Educaţie fizică şi sport 1 (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CB;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-EFS1-CC;03-ACS-L-A1-S1: Educaţie fizică şi sport 1 (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CC;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-EFS1-CD;03-ACS-L-A1-S1: Educaţie fizică şi sport 1 (Seria CD - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CD;2021-10-04;CS1;manual;student
03-ACS-L-A2-S1-SS-AA;03-ACS-L-A2-S1: Semnale şi sisteme (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 1 / Seria AA;2021-10-04;CS1;manual;student
03-ACS-L-A2-S1-SS-AB;03-ACS-L-A2-S1: Semnale şi sisteme (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 1 / Seria AB;2021-10-04;CS1;manual;student
03-ACS-L-A2-S1-SS-AC;03-ACS-L-A2-S1: Semnale şi sisteme (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 1 / Seria AC;2021-10-04;CS1;manual;student
03-ACS-L-A2-S1-EA-AA;03-ACS-L-A2-S1: Electronică analogică (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 1 / Seria AA;2021-10-04;CS1;manual;student
03-ACS-L-A2-S1-EA-AB;03-ACS-L-A2-S1: Electronică analogică (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 1 / Seria AB;2021-10-04;CS1;manual;student
03-ACS-L-A2-S1-EA-AC;03-ACS-L-A2-S1: Electronică analogică (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 1 / Seria AC;2021-10-04;CS1;manual;student
03-ACS-L-A1-S2-MN-CA;03-ACS-L-A1-S2: Metode numerice (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CA;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-MN-CB;03-ACS-L-A1-S2: Metode numerice (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CB;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-MN-CC;03-ACS-L-A1-S2: Metode numerice (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CC;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-MN-CD;03-ACS-L-A1-S2: Metode numerice (Seria CD - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CD;2022-02-28;CS2;manual;student
03-ACS-L-A2-S1-MN-AA;03-ACS-L-A2-S1: Metode numerice (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 1 / Seria AA;2021-10-04;CS1;manual;student
03-ACS-L-A2-S1-MN-AB;03-ACS-L-A2-S1: Metode numerice (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 1 / Seria AB;2021-10-04;CS1;manual;student
03-ACS-L-A2-S1-MN-AC;03-ACS-L-A2-S1: Metode numerice (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 1 / Seria AC;2021-10-04;CS1;manual;student
03-ACS-L-A2-S2-ED-AA;03-ACS-L-A2-S2: Electronică digitală (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AA;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-ED-AB;03-ACS-L-A2-S2: Electronică digitală (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AB;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-ED-AC;03-ACS-L-A2-S2: Electronică digitală (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AC;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-ED-CA;03-ACS-L-A2-S2: Electronică digitală (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 2 / Seria CA;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-ED-CB;03-ACS-L-A2-S2: Electronică digitală (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 2 / Seria CB;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-ED-CC;03-ACS-L-A2-S2: Electronică digitală (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 2 / Seria CC;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-ED-CD;03-ACS-L-A2-S2: Electronică digitală (Seria CD - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 2 / Seria CD;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-PDN-AA;03-ACS-L-A2-S2: Proiectarea dispozitivelor numerice (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AA;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-PDN-AB;03-ACS-L-A2-S2: Proiectarea dispozitivelor numerice (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AB;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-PDN-AC;03-ACS-L-A2-S2: Proiectarea dispozitivelor numerice (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AC;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-A-AA;03-ACS-L-A2-S2: Acţionări (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AA;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-A-AB;03-ACS-L-A2-S2: Acţionări (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AB;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-A-AC;03-ACS-L-A2-S2: Acţionări (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AC;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-TSA-AA;03-ACS-L-A2-S2: Teoria sistemelor automate (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AA;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-TSA-AB;03-ACS-L-A2-S2: Teoria sistemelor automate (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AB;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-TSA-AC;03-ACS-L-A2-S2: Teoria sistemelor automate (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AC;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-TO-AA;03-ACS-L-A2-S2: Tehnici de optimizare (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AA;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-TO-AB;03-ACS-L-A2-S2: Tehnici de optimizare (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AB;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-TO-AC;03-ACS-L-A2-S2: Tehnici de optimizare (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AC;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-SDED-AA;03-ACS-L-A2-S2: Sisteme dinamice cu evenimente discrete (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AA;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-SDED-AB;03-ACS-L-A2-S2: Sisteme dinamice cu evenimente discrete (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AB;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-SDED-AC;03-ACS-L-A2-S2: Sisteme dinamice cu evenimente discrete (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AC;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-C-AA;03-ACS-L-A1-S2: Chimie (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AA;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-C-AB;03-ACS-L-A1-S2: Chimie (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AB;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-C-AC;03-ACS-L-A1-S2: Chimie (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AC;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-LS4-AA;03-ACS-L-A2-S2: Limba străină 4 (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AA;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-LS4-AB;03-ACS-L-A2-S2: Limba străină 4 (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AB;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-LS4-AC;03-ACS-L-A2-S2: Limba străină 4 (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AC;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-LS4-CA;03-ACS-L-A2-S2: Limba străină 4 (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 2 / Seria CA;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-LS4-CB;03-ACS-L-A2-S2: Limba străină 4 (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 2 / Seria CB;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-LS4-CC;03-ACS-L-A2-S2: Limba străină 4 (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 2 / Seria CC;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-LS4-CD;03-ACS-L-A2-S2: Limba străină 4 (Seria CD - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 2 / Seria CD;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-LS2-AA;03-ACS-L-A1-S2: Limba străină 2 (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AA;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-LS2-AB;03-ACS-L-A1-S2: Limba străină 2 (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AB;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-LS2-AC;03-ACS-L-A1-S2: Limba străină 2 (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AC;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-LS2-CA;03-ACS-L-A1-S2: Limba străină 2 (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CA;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-LS2-CB;03-ACS-L-A1-S2: Limba străină 2 (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CB;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-LS2-CC;03-ACS-L-A1-S2: Limba străină 2 (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CC;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-LS2-CD;03-ACS-L-A1-S2: Limba străină 2 (Seria CD - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CD;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-F-AA;03-ACS-L-A1-S2: Fizică (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AA;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-F-AB;03-ACS-L-A1-S2: Fizică (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AB;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-F-AC;03-ACS-L-A1-S2: Fizică (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AC;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-SDA-CA;03-ACS-L-A1-S2: Structuri de date şi algoritmi (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CA;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-SDA-CB;03-ACS-L-A1-S2: Structuri de date şi algoritmi (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CB;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-SDA-CC;03-ACS-L-A1-S2: Structuri de date şi algoritmi (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CC;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-SDA-CD;03-ACS-L-A1-S2: Structuri de date şi algoritmi (Seria CD - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CD;2022-02-28;CS2;manual;student
03-ACS-L-A1-S1-LS1-AA;03-ACS-L-A1-S1: Limba străină 1 (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AA;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-LS1-AB;03-ACS-L-A1-S1: Limba străină 1 (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AB;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-LS1-AC;03-ACS-L-A1-S1: Limba străină 1 (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AC;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-LS1-CA;03-ACS-L-A1-S1: Limba străină 1 (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CA;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-LS1-CB;03-ACS-L-A1-S1: Limba străină 1 (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CB;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-LS1-CC;03-ACS-L-A1-S1: Limba străină 1 (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CC;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-LS1-CD;03-ACS-L-A1-S1: Limba străină 1 (Seria CD - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CD;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-Mec-AA;03-ACS-L-A1-S1: Mecanică (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AA;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-Mec-AB;03-ACS-L-A1-S1: Mecanică (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AB;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-Mec-AC;03-ACS-L-A1-S1: Mecanică (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AC;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-PL-CA;03-ACS-L-A1-S1: Proiectare logică (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CA;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-PL-CB;03-ACS-L-A1-S1: Proiectare logică (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CB;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-PL-CC;03-ACS-L-A1-S1: Proiectare logică (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CC;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-PL-CD;03-ACS-L-A1-S1: Proiectare logică (Seria CD - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CD;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-USO-CA;03-ACS-L-A1-S1: Utilizarea sistemelor de operare (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CA;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-USO-CB;03-ACS-L-A1-S1: Utilizarea sistemelor de operare (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CB;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-USO-CC;03-ACS-L-A1-S1: Utilizarea sistemelor de operare (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CC;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-USO-CD;03-ACS-L-A1-S1: Utilizarea sistemelor de operare (Seria CD - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CD;2021-10-04;CS1;manual;student
03-ACS-L-A2-S2-CN1-CA;03-ACS-L-A2-S2: Calculatoare numerice I (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 2 / Seria CA;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-CN1-CB;03-ACS-L-A2-S2: Calculatoare numerice I (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 2 / Seria CB;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-CN1-CC;03-ACS-L-A2-S2: Calculatoare numerice I (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 2 / Seria CC;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-CN1-CD;03-ACS-L-A2-S2: Calculatoare numerice I (Seria CD - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 2 / Seria CD;2022-02-28;CS2;manual;student
